Esp,Measures,Pzs.
6,1105x2804,2
6,1120x390,4
6,1217x2799,2
6,1282x2084,4
6,1340x2259,4
6,1415x2119,6
6,1477x2809,3
6,1512x3130,4
6,1514x2809,3
6,2120x1113,2
6,2412x2874,8
6,2504x1519,2
6,935x723,5
